geoid,state_fips,county_fips,county_name,year,month,n_days,ppt_total,tmean_mean,tmin_mean,tmax_mean,dataset_types
17193,17,193,White,2020,10,31,149.35315525706315,12.768806956781177,6.158914399646631,19.378799214336855,AN81
17193,17,193,White,2020,11,30,90.17042410648598,9.096524620318462,2.649551346572899,15.54359166603558,AN81
17193,17,193,White,2020,12,31,71.2131211981051,2.366855474083314,-2.756965216058208,7.4918491850364415,"AN81,AN91"
17193,17,193,White,2021,1,31,67.3611405182205,1.0860605178887197,-2.9252965163768456,5.126697668126667,AN91
17193,17,193,White,2021,2,28,95.96011834569087,-2.6999499601987016,-7.464870926685479,2.0632606140217047,AN91
17193,17,193,White,2021,3,31,107.62228507884055,9.584190287701135,3.187743230231082,15.759945370675746,AN91
17193,17,193,White,2021,4,30,74.74685448137066,12.905714188294422,6.478728894219578,19.08767366458964,AN91
17193,17,193,White,2021,5,31,98.01661685632293,17.367459795025123,11.321342049477922,23.219990883526087,AN91
17193,17,193,White,2021,6,30,144.37228681521964,23.990973894957325,18.679667763745638,29.416873310838458,AN91
17193,17,193,White,2021,7,31,200.17617544274964,24.384370519472675,19.19732929693269,29.571555078357587,AN91
17193,17,193,White,2021,8,31,96.44859495002437,25.078087170625068,19.65461166155704,30.501703806441302,AN91
17193,17,193,White,2021,9,30,70.91191577418878,21.282407345340637,14.5524362360055,28.012524263187807,AN91
17193,17,193,White,2021,10,31,149.71425005363756,16.82124435354968,11.033640071740873,22.60899079154034,AN91
17193,17,193,White,2021,11,30,40.38680498954784,5.571317291124043,-1.1825721996016554,12.325316731126525,AN91
17193,17,193,White,2021,12,31,134.33395468135464,7.727425874233903,1.8297452340300002,13.625224675073564,AN91
17195,17,195,Whiteside,2020,1,31,63.68626214208256,-2.7576001882317986,-6.439005394573678,0.9232966848012629,AN81
17195,17,195,Whiteside,2020,2,29,16.148105748749927,-3.057890249915484,-7.769325856853473,1.6534951183326598,AN81
17195,17,195,Whiteside,2020,3,31,122.08612349003111,4.511981763703575,-0.08128875600418789,9.105334494653384,AN81
17195,17,195,Whiteside,2020,4,30,67.61950120980678,8.552543409318183,2.359693303062945,14.745487914969692,AN81
17195,17,195,Whiteside,2020,5,31,166.92148686437443,14.862753366403362,9.766983247071117,19.95862410027509,AN81
17195,17,195,Whiteside,2020,6,30,90.35249342083854,22.671406798867565,16.70502721242282,28.637888165186176,AN81
17195,17,195,Whiteside,2020,7,31,101.08430138410054,24.309388862207875,18.723754012931714,29.895127153773053,AN81
17195,17,195,Whiteside,2020,8,31,21.850136407628362,22.24460458552147,16.024037840343077,28.465270820573377,AN81
17195,17,195,Whiteside,2020,9,30,190.95197104234472,16.716396164896032,10.759793703425649,22.673099221139385,AN81
17195,17,195,Whiteside,2020,10,31,61.464977298696624,8.846006811920924,3.066953971792122,14.625152660435218,AN81
17195,17,195,Whiteside,2020,11,30,56.630625030801056,6.213396640865435,0.43084111746114656,11.996034326668966,AN81
17195,17,195,Whiteside,2020,12,31,56.311392417614655,-1.716901435302602,-6.44336611383941,3.007022844246629,"AN81,AN91"
17195,17,195,Whiteside,2021,1,31,43.656727838977574,-4.333258053823001,-8.042901721085222,-0.675454024466161,AN91
17195,17,195,Whiteside,2021,2,28,27.14513541934511,-10.432532664051648,-15.553001917606887,-5.4480928971298805,AN91
17195,17,195,Whiteside,2021,3,31,53.28473028491152,5.125071682178138,-0.38574685177030793,10.665151367047635,AN91
17195,17,195,Whiteside,2021,4,30,95.2878324651285,10.50898470000508,4.792329571517216,16.165695153687505,AN91
17195,17,195,Whiteside,2021,5,31,116.50824036267154,15.250322526717587,10.066825542841311,20.364442312969672,AN91
17195,17,195,Whiteside,2021,6,30,83.62021539294254,23.25368465005364,17.50894633417264,28.91118278878808,AN91
17195,17,195,Whiteside,2021,7,31,91.0631381377589,22.617201715417632,17.62112802772245,27.613417215616273,AN91
